tanggal_transaksi,produk,kategori,jumlah_terjual,harga_satuan,total_penjualan
2025-01-11,TV,TV,1,6964967,6964967
2025-01-27,Tablet,Tablet,1,4823796,4823796
2025-01-25,TV,TV,1,3217244,3217244
2025-01-02,Kamera,Kamera,1,9278128,9278128
2025-01-02,Tablet,Tablet,2,5795160,11590320
2025-01-08,Laptop,Laptop,4,929805,3719220
2025-01-10,Tablet,Tablet,4,846775,3387100
2025-01-26,TV,TV,1,3581220,3581220
2025-01-04,Smartphone,Smartphone,4,8164620,32658480
2025-01-07,Smartphone,Smartphone,3,7121489,21364467
2025-01-24,Smartphone,Smartphone,3,7015031,21045093
2025-01-12,Tablet,Tablet,2,9289558,18579116
2025-01-15,Tablet,Tablet,2,721337,1442674
2025-01-19,Laptop,Laptop,2,3936308,7872616
2025-01-28,Smartphone,Smartphone,3,6028929,18086787
2025-01-01,Kamera,Kamera,2,3460057,6920114
2025-01-15,Laptop,Laptop,2,7020219,14040438
2025-01-04,Tablet,Tablet,1,7382333,7382333
2025-01-22,Tablet,Tablet,2,6343891,12687782
2025-01-13,TV,TV,3,3322998,9968994
2025-01-26,Laptop,Laptop,2,8264470,16528940
2025-01-11,Smartphone,Smartphone,2,6073225,12146450
2025-01-21,Smartphone,Smartphone,1,1109265,1109265
2025-01-12,Kamera,Kamera,1,6500512,6500512
2025-01-05,TV,TV,2,1942643,3885286
2025-01-07,TV,TV,2,1279640,2559280
2025-01-05,Laptop,Laptop,3,8253425,24760275
2025-01-16,Tablet,Tablet,4,4652468,18609872
2025-01-21,Tablet,Tablet,4,7632970,30531880
2025-01-04,Smartphone,Smartphone,2,1491809,2983618
2025-01-13,Smartphone,Smartphone,4,1308468,5233872
2025-01-05,Laptop,Laptop,4,1630608,6522432
2025-01-21,Headphone,Aksesoris,4,1812104,7248416
2025-01-09,Smartphone,Smartphone,3,5723390,17170170
2025-01-15,TV,TV,3,3119227,9357681
2025-01-16,Tablet,Tablet,2,5284191,10568382
2025-01-21,Laptop,Laptop,3,5058751,15176253
2025-01-04,Laptop,Laptop,4,5008102,20032408
2025-01-27,Kamera,Kamera,3,4757033,14271099
2025-01-24,Smartphone,Smartphone,1,8154844,8154844
2025-01-16,Tablet,Tablet,4,8082299,32329196
2025-01-14,Smartphone,Smartphone,4,2354063,9416252
2025-01-22,TV,TV,2,5188211,10376422
2025-01-22,Headphone,Aksesoris,2,5007563,10015126
2025-01-17,TV,TV,2,704004,1408008
2025-01-18,Headphone,Aksesoris,3,6500442,19501326
2025-01-06,Kamera,Kamera,2,3174561,6349122
2025-01-10,TV,TV,2,7503264,15006528
2025-01-04,Tablet,Tablet,2,1242183,2484366
2025-01-01,Tablet,Tablet,3,8361272,25083816
