tanggal_transaksi,produk,kategori,jumlah_terjual,harga_satuan,total_penjualan
2025-03-31,Headphone,Aksesoris,3,2500586,7501758
2025-03-07,Tablet,Tablet,3,5213841,15641523
2025-03-03,Tablet,Tablet,4,4881055,19524220
2025-03-20,Headphone,Aksesoris,2,3409544,6819088
2025-03-22,Tablet,Tablet,4,1763473,7053892
2025-03-28,Tablet,Tablet,2,8254866,16509732
2025-03-25,Kamera,Kamera,4,8227222,32908888
2025-03-24,Kamera,Kamera,2,9619579,19239158
2025-03-13,Laptop,Laptop,2,5811401,11622802
2025-03-22,Kamera,Kamera,2,7594527,15189054
2025-03-07,Tablet,Tablet,4,1477501,5910004
2025-03-12,Smartphone,Smartphone,1,4856655,4856655
2025-03-10,Tablet,Tablet,1,1262024,1262024
2025-03-28,Kamera,Kamera,1,2005522,2005522
2025-03-05,Smartphone,Smartphone,3,5482625,16447875
2025-03-29,Headphone,Aksesoris,1,6010082,6010082
2025-03-02,TV,TV,2,3961870,7923740
2025-03-18,Tablet,Tablet,4,4590556,18362224
2025-03-23,Laptop,Laptop,2,830123,1660246
2025-03-25,Tablet,Tablet,1,1060856,1060856
